repository,topic,review_status
da1dr1em/dsh-ego-browser,deepseek-harness|dsh-plugin,verified_plugin
dancingmemory/dskin,deepseek-harness|dsh-plugin,verified_plugin
dandandujie/dive,deepseek-harness,related
darker2016/workbuddyskillgroups4dsh,deepseek-harness|dsh-plugin,verified_skill
dawnmagnet/deepseek-harness-desktop,deepseek-harness,related
dbydd/dsh-onlyne,dsh-plugin,verified_plugin
dddfxyqiming/agent_extensions,deepseek-harness|dsh-plugin,verified_plugin
deepseek-ai/deepseek-harness,dsh-plugin,related
Degurechaff57/dsh-openapi,dsh-plugin,verified_plugin
deklan-deng/dcode,deepseek-harness|dsh-plugin,rejected
Demogorgon314/dsh-resume-plugin,dsh-plugin,verified_plugin
detpecca/dsh-llm-wiki,dsh-plugin,verified_plugin
detpecca/DSH-Wiki,dsh-plugin,rejected
devin-axis/ipollowork,deepseek-harness|dsh-plugin,rejected
dgpisces/deepseek-harness-openai-oauth,deepseek-harness|dsh-plugin,verified_plugin
dhj-l/dsh-client-ui-question-history,dsh-plugin,verified_plugin
dhj-l/dsh-git-review,dsh-plugin,watchlist
dietcokewithsugar/dsh-user-experience,deepseek-harness|dsh-plugin,verified_plugin
ding7015869-alt/dsh-web-desktop,deepseek-harness,related
dingkaihu63/dsh-robotic-harness,deepseek-harness|dsh-plugin,verified_plugin
dingyi222666/dsh-focus-chat,dsh-plugin,verified_plugin
dingyi222666/dsh-session-notification,dsh-plugin,verified_plugin
dino6021/dsh-usage-cost,deepseek-harness|dsh-plugin,verified_plugin
djh2203/dsh-refined,dsh-plugin,verified_plugin
dmsobtl/dsh-agent-eval,dsh-plugin,watchlist
dmsobtl/dsh-cost-optimizer,dsh-plugin,watchlist
dmsobtl/dsh-llm-vision-router,dsh-plugin,watchlist
dmsobtl/dsh-quant-workbench,dsh-plugin,verified_plugin
dmsobtl/dsh-replay-studio,dsh-plugin,watchlist
dmsobtl/dsh-session-analyst,dsh-plugin,watchlist
dmsobtl/dsh-skill-evolve,dsh-plugin,watchlist
dmsobtl/dsh-test-workbench,dsh-plugin,verified_plugin
dmsobtl/dsh-tool-app-verify,dsh-plugin,watchlist
dmsobtl/dsh-tool-backtest,dsh-plugin,watchlist
dmsobtl/dsh-tool-code-review,dsh-plugin,watchlist
dmsobtl/dsh-tool-market-data,dsh-plugin,watchlist
doggyhu/dsh4vscode,dsh-plugin,rejected
Dominic789654/awesome-deepseek-harness,dsh-plugin,related
dongsheng123132/awesome-dsh-plugins,deepseek-harness|dsh-plugin,rejected
dongsheng123132/dsh-2origin,deepseek-harness|dsh-plugin,verified_plugin
dongsheng123132/dsh-action-parity,deepseek-harness|dsh-plugin,verified_plugin
dongsheng123132/dsh-audit-bundle,deepseek-harness|dsh-plugin,verified_plugin
dongsheng123132/dsh-benchmark,deepseek-harness|dsh-plugin,verified_plugin
dongsheng123132/dsh-cad-review,deepseek-harness|dsh-plugin,verified_plugin
dongsheng123132/dsh-capability-receipt,deepseek-harness|dsh-plugin,verified_plugin
dongsheng123132/dsh-cost,deepseek-harness|dsh-plugin,verified_plugin
dongsheng123132/dsh-lineage,deepseek-harness|dsh-plugin,verified_plugin
dongsheng123132/dsh-narrative-ledger,deepseek-harness|dsh-plugin,verified_plugin
dongsheng123132/dsh-policy-drift-proof,deepseek-harness|dsh-plugin,verified_plugin
dongsheng123132/dsh-recovery-proof,deepseek-harness|dsh-plugin,verified_plugin
dongsheng123132/dsh-release-proof,deepseek-harness|dsh-plugin,verified_plugin
dongsheng123132/dsh-switch,deepseek-harness|dsh-plugin,verified_plugin
dongsheng123132/dshx,deepseek-harness,watchlist
dongsheng123132/task-passport,deepseek-harness|dsh-plugin,verified_plugin
dpskh/dsh-a2a,dsh-plugin,verified_plugin
dpskh/dsh-checkpoint,dsh-plugin,verified_plugin
dpskh/dsh-rewind,dsh-plugin,verified_plugin
dreamzhongju/dsh-codex-sync,deepseek-harness|dsh-plugin,watchlist
drfccv/dsh-theme-neko,deepseek-harness|dsh-plugin,verified_plugin
Drifter-yh/dsh-tool-policy,dsh-plugin,verified_plugin
drowned-fish1/deepseek-harness-skillx,deepseek-harness|dsh-plugin,verified_plugin
drscrewdriver/inferglow,dsh-plugin,rejected
dsh-market/dsh-market,deepseek-harness|dsh-plugin,verified_plugin
dsh-plugin/dsh-plugin.github.io,dsh-plugin,rejected
dsh-pub/dsh-pub,deepseek-harness,rejected
dsh-tui/dsh-tui,deepseek-harness|dsh-plugin,verified_plugin
dshiq04/dsh-deepseek-balance,deepseek-harness|dsh-plugin,verified_plugin
dshiq04/dsh-notify,deepseek-harness|dsh-plugin,verified_plugin
dshworks/.github,deepseek-harness,rejected
dshworks/awesome-dsh-plugins,deepseek-harness,related
dshworks/awesome-dsh-themes,deepseek-harness,rejected
dshworks/dshworks.github.io,deepseek-harness,rejected
dshworks/howto-dsh,deepseek-harness,rejected
dtsfo/dsh-conversation-rewind,deepseek-harness|dsh-plugin,verified_plugin
dtsfo/dsh-model-modes,deepseek-harness|dsh-plugin,verified_plugin
dyuan311/dsh-openai-codex-oauth,deepseek-harness|dsh-plugin,verified_plugin
